,ECON101_grade,ENGLISH125_grade,DATASCI306_grade,MATH217_grade,STATS250_grade,EECS545_grade
14643,,,,,B+,
14644,,,,,B-,
14645,,,,,B,
14646,,,,,B-,
14647,,,,,C+,
14648,,,,,B+,
14649,,,,,A-,
14650,,,,,A,
14651,,,,,A-,
14652,,,,,B+,
14653,,,,,B,
14654,,,,,B+,
14655,,,,,C+,
14656,,,,,A-,
14657,,,,,E,
14658,,,,,A-,
14659,,,,,A-,
14660,,,,,B-,
14661,,,,,B+,
14662,,,,,A-,
14663,,,,,A-,
14664,,,,,A-,
14665,,,,,A-,
14666,,,,,C+,
14667,,,,,D-,
14668,,,,,D+,
14669,,,,,A-,
14670,,,,,B,
14671,,,,,C+,
14672,,,,,C,
14673,,,,,B,
14674,,,,,A-,
14675,,,,,D,
14676,,,,,D,
14677,,,,,A,
14678,,,,,D+,
14679,,,,,A,
14680,,,,,B,
14681,,,,,B,
14682,,,,,A+,
14683,,,,,A+,
14684,,,,,B,
14685,,,,,A-,
14686,,,,,E,
14687,,,,,B-,
14688,,,,,B+,
14689,,,,,B-,
14690,,,,,B,
14691,,,,,A,
14692,,,,,C-,
14693,,,,,B+,
14694,,,,,A+,
14695,,,,,C,
14696,,,,,B+,
14697,,,,,A,
14698,,,,,A,
14699,,,,,A-,
14700,,,,,A-,
14701,,,,,C,
14702,,,,,B-,
14703,,,,,B,
14704,,,,,A-,
14705,,,,,A-,
14706,,,,,A-,
14707,,,,,A-,
14708,,,,,C-,
14709,,,,,E,
14710,,,,,A,
14711,,,,,B+,
14712,,,,,C,
14713,,,,,B,
14714,,,,,B+,
14715,,,,,A,
14716,,,,,B,
14717,,,,,A,
14718,,,,,C-,
14719,,,,,B-,
14720,,,,,B+,
14721,,,,,B,
14722,,,,,E,
14723,,,,,A-,
14724,,,,,B,
14725,,,,,A-,
14726,,,,,B,
14727,,,,,B+,
14728,,,,,B,
14729,,,,,C-,
14730,,,,,B-,
14731,,,,,A,
14732,,,,,A,
14733,,,,,C+,
14734,,,,,A-,
14735,,,,,B+,
14736,,,,,A-,
14737,,,,,A,
14738,,,,,B+,
14739,,,,,B-,
14740,,,,,B-,
14741,,,,,C+,
14742,,,,,A,
14743,,,,,A-,
14744,,,,,C+,
14745,,,,,C+,
14746,,,,,B+,
14747,,,,,B-,
14748,,,,,D+,
14749,,,,,C+,
14750,,,,,A,
14751,,,,,A-,
14752,,,,,B,
14753,,,,,A+,
14754,,,,,A-,
14755,,,,,A+,
14756,,,,,A-,
14757,,,,,C+,
14758,,,,,A-,
14759,,,,,A+,
14760,,,,,A-,
14761,,,,,A-,
14762,,,,,B,
14763,,,,,C-,
14764,,,,,B-,
14765,,,,,A,
14766,,,,,E,
14767,,,,,A+,
14768,,,,,C,
14769,,,,,C,
14770,,,,,C-,
14771,,,,,B-,
14772,,,,,A-,
14773,,,,,A+,
14774,,,,,B+,
14775,,,,,B+,
14776,,,,,A,
14777,,,,,D+,
14778,,,,,A-,
14779,,,,,B-,
14780,,,,,B,
14781,,,,,A,
14782,,,,,A-,
14783,,,,,B+,
14784,,,,,C,
14785,,,,,A-,
14786,,,,,B-,
14787,,,,,C-,
14788,,,,,A-,
14789,,,,,A+,
14790,,,,,C,
14791,,,,,D+,
14792,,,,,B-,
14793,,,,,A-,
14794,,,,,A-,
14795,,,,,B+,
14796,,,,,A,
14797,,,,,B,
14798,,,,,A-,
14799,,,,,B+,
14800,,,,,B-,
14801,,,,,B+,
14802,,,,,A,
14803,,,,,A-,
14804,,,,,A-,
14805,,,,,D+,
14806,,,,,A-,
14807,,,,,A+,
14808,,,,,B+,
14809,,,,,C-,
14810,,,,,C+,
14811,,,,,A,
14812,,,,,C+,
14813,,,,,A,
14814,,,,,B,
14815,,,,,A-,
14816,,,,,B+,
14817,,,,,B-,
14818,,,,,C+,
14819,,,,,A-,
14820,,,,,B-,
14821,,,,,B-,
14822,,,,,B-,
14823,,,,,A+,
14824,,,,,A,
14825,,,,,A,
14826,,,,,B,
14827,,,,,C,
14828,,,,,B-,
14829,,,,,A,
14830,,,,,A-,
14831,,,,,B+,
14832,,,,,B,
14833,,,,,B+,
14834,,,,,A+,
14835,,,,,B-,
14836,,,,,A,
14837,,,,,B,
14838,,,,,B+,
14839,,,,,B,
14840,,,,,A,
14841,,,,,A,
14842,,,,,C+,
14843,,,,,A-,
14844,,,,,A,
14845,,,,,B-,
14846,,,,,C+,
14847,,,,,A-,
14848,,,,,A-,
14849,,,,,A+,
14850,,,,,A,
14851,,,,,D-,
14852,,,,,C+,
14853,,,,,A-,
14854,,,,,C-,
14855,,,,,C,
14856,,,,,B+,
14857,,,,,D+,
14858,,,,,A,
14859,,,,,B-,
14860,,,,,C,
14861,,,,,B,
14862,,,,,B-,
14863,,,,,C+,
14864,,,,,A,
14865,,,,,A,
14866,,,,,C+,
14867,,,,,A-,
14868,,,,,A-,
14869,,,,,B,
14870,,,,,B+,
14871,,,,,B+,
14872,,,,,B,
14873,,,,,A,
14874,,,,,C,
14875,,,,,A-,
14876,,,,,B+,
14877,,,,,A,
14878,,,,,B-,
14879,,,,,C-,
14880,,,,,C+,
14881,,,,,A-,
14882,,,,,A,
14883,,,,,A,
14884,,,,,A,
14885,,,,,A-,
14886,,,,,C+,
14887,,,,,A-,
14888,,,,,C-,
14889,,,,,C-,
14890,,,,,D+,
14891,,,,,C+,
14892,,,,,B-,
14893,,,,,B-,
14894,,,,,A-,
14895,,,,,A,
14896,,,,,A,
14897,,,,,B,
14898,,,,,A,
14899,,,,,A-,
14900,,,,,C+,
14901,,,,,C-,
14902,,,,,A-,
14903,,,,,B,
14904,,,,,C,
14905,,,,,A,
14906,,,,,B+,
14907,,,,,D+,
14908,,,,,A,
14909,,,,,C,
14910,,,,,B+,
14911,,,,,B,
14912,,,,,B-,
14913,,,,,B+,
14914,,,,,A,
14915,,,,,B,
14916,,,,,B,
14917,,,,,A-,
14918,,,,,C-,
14919,,,,,A-,
14920,,,,,A-,
14921,,,,,A,
14922,,,,,B+,
14923,,,,,C,
14924,,,,,C+,
14925,,,,,A,
14926,,,,,C,
14927,,,,,A-,
14928,,,,,B-,
14929,,,,,B,
14930,,,,,A-,
14931,,,,,B,
14932,,,,,B,
14933,,,,,A-,
14934,,,,,B+,
14935,,,,,B,
14936,,,,,A,
14937,,,,,B+,
14938,,,,,A,
14939,,,,,A+,
14940,,,,,C,
14941,,,,,B-,
14942,,,,,B+,
14943,,,,,C,
14944,,,,,E,
14945,,,,,C-,
14946,,,,,B,
14947,,,,,B,
14948,,,,,A-,
14949,,,,,A,
14950,,,,,A,
14951,,,,,B+,
14952,,,,,B-,
14953,,,,,B+,
14954,,,,,A-,
14955,,,,,A,
14956,,,,,A-,
14957,,,,,A-,
14958,,,,,C+,
14959,,,,,B,
14960,,,,,B+,
14961,,,,,A+,
14962,,,,,B+,
14963,,,,,A,
14964,,,,,B+,
14965,,,,,C+,
14966,,,,,A-,
14967,,,,,C+,
14968,,,,,B+,
14969,,,,,A,
14970,,,,,B-,
14971,,,,,A,
14972,,,,,B,
14973,,,,,B+,
14974,,,,,B+,
14975,,,,,A,
14976,,,,,A-,
14977,,,,,A+,
14978,,,,,B+,
14979,,,,,B-,
14980,,,,,B,
14981,,,,,B,
14982,,,,,B-,
14983,,,,,B,
14984,,,,,B,
14985,,,,,B,
14986,,,,,B+,
14987,,,,,B-,
14988,,,,,B,
14989,,,,,C,
14990,,,,,E,
14991,,,,,A,
14992,,,,,B,
14993,,,,,B+,
14994,,,,,B+,
14995,,,,,D+,
14996,,,,,D+,
14997,,,,,C,
14998,,,,,B,
14999,,,,,C-,
15000,,,,,A,
15001,,,,,C,
15002,,,,,C-,
15003,,,,,B+,
15004,,,,,A,
15005,,,,,B-,
15006,,,,,A-,
15007,,,,,B+,
15008,,,,,B,
15009,,,,,D+,
15010,,,,,C,
15011,,,,,A,
15012,,,,,B+,
15013,,,,,B,
15014,,,,,B,
15015,,,,,B+,
15016,,,,,B+,
15017,,,,,B-,
15018,,,,,B+,
15019,,,,,A-,
15020,,,,,A,
15021,,,,,A,
15022,,,,,D-,
15023,,,,,B-,
15024,,,,,C+,
15025,,,,,A,
15026,,,,,B,
15027,,,,,A-,
15028,,,,,B-,
15029,,,,,A+,
15030,,,,,A,
15031,,,,,A+,
15032,,,,,A-,
15033,,,,,B-,
15034,,,,,C+,
15035,,,,,B,
15036,,,,,A,
15037,,,,,B,
15038,,,,,A-,
15039,,,,,A,
15040,,,,,A-,
15041,,,,,A-,
15042,,,,,A,
15043,,,,,A,
15044,,,,,B,
15045,,,,,A-,
15046,,,,,A,
15047,,,,,A,
15048,,,,,B,
15049,,,,,C,
15050,,,,,B,
15051,,,,,A,
15052,,,,,A,
15053,,,,,E,
15054,,,,,A-,
15055,,,,,B-,
15056,,,,,B+,
15057,,,,,B,
15058,,,,,B-,
15059,,,,,A-,
15060,,,,,A,
15061,,,,,C,
15062,,,,,A+,
15063,,,,,B-,
15064,,,,,A-,
15065,,,,,B+,
15066,,,,,A-,
15067,,,,,B-,
15068,,,,,A,
15069,,,,,B-,
15070,,,,,C,
15071,,,,,A,
15072,,,,,B-,
15073,,,,,A-,
15074,,,,,A,
15075,,,,,A-,
15076,,,,,A,
15077,,,,,C,
15078,,,,,B+,
15079,,,,,A+,
15080,,,,,C+,
15081,,,,,C+,
15082,,,,,A+,
15083,,,,,A,
15084,,,,,C+,
15085,,,,,B,
15086,,,,,E,
15087,,,,,A,
15088,,,,,B-,
15089,,,,,A,
15090,,,,,B+,
15091,,,,,A,
15092,,,,,C-,
15093,,,,,D-,
15094,,,,,A,
15095,,,,,A,
15096,,,,,A,
15097,,,,,C,
15098,,,,,A-,
15099,,,,,C-,
15100,,,,,A+,
15101,,,,,A-,
15102,,,,,B+,
15103,,,,,B+,
15104,,,,,B,
15105,,,,,B-,
15106,,,,,B-,
15107,,,,,B+,
15108,,,,,C-,
15109,,,,,B-,
15110,,,,,B-,
15111,,,,,C,
15112,,,,,B,
15113,,,,,B-,
15114,,,,,C-,
15115,,,,,A-,
15116,,,,,B,
15117,,,,,B+,
15118,,,,,C+,
15119,,,,,A,
15120,,,,,B,
15121,,,,,A,
15122,,,,,A,
15123,,,,,B-,
15124,,,,,C+,
15125,,,,,C+,
15126,,,,,B+,
15127,,,,,A,
15128,,,,,C+,
15129,,,,,A-,
15130,,,,,B+,
15131,,,,,B-,
15132,,,,,C-,
15133,,,,,A-,
15134,,,,,B+,
15135,,,,,B-,
15136,,,,,B+,
15137,,,,,C+,
15138,,,,,B+,
15139,,,,,C+,
15140,,,,,B-,
15141,,,,,A,
15142,,,,,A,
15143,,,,,B+,
15144,,,,,C+,
15145,,,,,A,
15146,,,,,A-,
15147,,,,,A-,
15148,,,,,A+,
15149,,,,,A-,
15150,,,,,C+,
15151,,,,,A-,
15152,,,,,A-,
15153,,,,,B+,
15154,,,,,A-,
15155,,,,,D+,
15156,,,,,B-,
15157,,,,,D+,
15158,,,,,A,
15159,,,,,A,
15160,,,,,B+,
15161,,,,,A,
15162,,,,,A-,
15163,,,,,A-,
15164,,,,,C+,
15165,,,,,C+,
15166,,,,,C+,
15167,,,,,A-,
15168,,,,,E,
15169,,,,,D+,
15170,,,,,B+,
15171,,,,,A+,
15172,,,,,C,
15173,,,,,A-,
15174,,,,,A-,
15175,,,,,A-,
15176,,,,,B,
15177,,,,,A-,
15178,,,,,A-,
15179,,,,,C-,
15180,,,,,B+,
15181,,,,,A,
15182,,,,,B,
15183,,,,,B,
15184,,,,,E,
15185,,,,,B+,
15186,,,,,A-,
15187,,,,,E,
15188,,,,,B-,
15189,,,,,C+,
15190,,,,,B-,
15191,,,,,B,
15192,,,,,C,
15193,,,,,B+,
15194,,,,,B,
15195,,,,,B,
15196,,,,,B-,
15197,,,,,A-,
15198,,,,,A,
15199,,,,,B+,
15200,,,,,B-,
15201,,,,,B+,
15202,,,,,B,
15203,,,,,C,
15204,,,,,A+,
15205,,,,,A,
15206,,,,,C,
15207,,,,,A-,
15208,,,,,A,
15209,,,,,C,
15210,,,,,A,
15211,,,,,A,
15212,,,,,B,
15213,,,,,B-,
15214,,,,,B-,
15215,,,,,A,
15216,,,,,A-,
15217,,,,,D+,
15218,,,,,C+,
15219,,,,,C-,
15220,,,,,A,
15221,,,,,A-,
15222,,,,,C,
15223,,,,,A,
15224,,,,,A+,
15225,,,,,C+,
15226,,,,,B,
15227,,,,,A-,
15228,,,,,C+,
15229,,,,,C,
15230,,,,,A,
15231,,,,,C+,
15232,,,,,B-,
15233,,,,,C+,
15234,,,,,A,
15235,,,,,A,
15236,,,,,A,
15237,,,,,E,
15238,,,,,B+,
15239,,,,,A,
15240,,,,,B+,
15241,,,,,B-,
15242,,,,,C+,
15243,,,,,B,
15244,,,,,A,
15245,,,,,B+,
15246,,,,,C-,
15247,,,,,A+,
15248,,,,,A,
15249,,,,,C+,
15250,,,,,A,
15251,,,,,C,
15252,,,,,C+,
15253,,,,,A-,
15254,,,,,C+,
15255,,,,,A-,
15256,,,,,B+,
15257,,,,,D+,
15258,,,,,D+,
15259,,,,,B,
15260,,,,,C,
15261,,,,,A-,
15262,,,,,B-,
15263,,,,,B,
15264,,,,,C+,
15265,,,,,B,
15266,,,,,E,
15267,,,,,A+,
15268,,,,,B-,
15269,,,,,A+,
15270,,,,,A,
15271,,,,,B+,
15272,,,,,B-,
15273,,,,,A-,
15274,,,,,B+,
15275,,,,,C,
15276,,,,,A,
15277,,,,,B,
15278,,,,,A,
15279,,,,,B+,
15280,,,,,C-,
15281,,,,,B,
15282,,,,,B,
15283,,,,,B-,
15284,,,,,B+,
15285,,,,,A,
15286,,,,,A,
15287,,,,,B,
15288,,,,,B,
15289,,,,,B+,
15290,,,,,B,
15291,,,,,B+,
15292,,,,,B+,
15293,,,,,A-,
15294,,,,,B,
15295,,,,,B+,
15296,,,,,D+,
15297,,,,,B+,
15298,,,,,A-,
15299,,,,,C,
15300,,,,,B,
15301,,,,,B+,
15302,,,,,A-,
15303,,,,,C-,
15304,,,,,B,
15305,,,,,C+,
15306,,,,,A,
15307,,,,,B+,
15308,,,,,B+,
15309,,,,,A,
15310,,,,,B+,
15311,,,,,A-,
15312,,,,,A,
15313,,,,,B+,
15314,,,,,B-,
15315,,,,,A-,
15316,,,,,C-,
15317,,,,,C+,
15318,,,,,A,
15319,,,,,A-,
15320,,,,,A+,
15321,,,,,A,
15322,,,,,B,
15323,,,,,A,
15324,,,,,B,
15325,,,,,B,
15326,,,,,C+,
15327,,,,,B-,
15328,,,,,A-,
15329,,,,,B-,
15330,,,,,B-,
15331,,,,,C-,
15332,,,,,B+,
15333,,,,,A-,
15334,,,,,B,
15335,,,,,A,
15336,,,,,B,
15337,,,,,D-,
15338,,,,,C,
15339,,,,,C,
15340,,,,,A-,
15341,,,,,A-,
15342,,,,,B,
15343,,,,,C-,
15344,,,,,B,
15345,,,,,C-,
15346,,,,,B,
15347,,,,,B+,
15348,,,,,B,
15349,,,,,C+,
15350,,,,,C,
15351,,,,,A,
15352,,,,,D+,
15353,,,,,A,
15354,,,,,C,
15355,,,,,B,
15356,,,,,B-,
15357,,,,,C-,
15358,,,,,A,
15359,,,,,A-,
15360,,,,,A,
15361,,,,,B-,
15362,,,,,C,
15363,,,,,A,
15364,,,,,B,
15365,,,,,D+,
15366,,,,,B+,
15367,,,,,D-,
15368,,,,,B+,
15369,,,,,A,
15370,,,,,B-,
15371,,,,,C+,
15372,,,,,C+,
15373,,,,,A-,
15374,,,,,C,
15375,,,,,A-,
15376,,,,,A+,
15377,,,,,C,
15378,,,,,B+,
15379,,,,,A,
15380,,,,,A-,
15381,,,,,A,
15382,,,,,C+,
15383,,,,,A,
15384,,,,,A,
15385,,,,,B,
15386,,,,,A-,
15387,,,,,C,
15388,,,,,B-,
15389,,,,,B-,
15390,,,,,A-,
15391,,,,,A,
15392,,,,,B+,
15393,,,,,A,
15394,,,,,A,
15395,,,,,D,
15396,,,,,A,
15397,,,,,B-,
15398,,,,,A-,
15399,,,,,A+,
15400,,,,,A-,
15401,,,,,C+,
15402,,,,,C+,
15403,,,,,B+,
15404,,,,,C-,
15405,,,,,D+,
15406,,,,,D+,
15407,,,,,A,
15408,,,,,A,
15409,,,,,A,
15410,,,,,A+,
15411,,,,,B+,
15412,,,,,A,
15413,,,,,B,
15414,,,,,A,
15415,,,,,A-,
15416,,,,,D+,
15417,,,,,B+,
15418,,,,,C+,
15419,,,,,B,
15420,,,,,B,
15421,,,,,A,
15422,,,,,A,
15423,,,,,B+,
15424,,,,,A,
15425,,,,,B-,
15426,,,,,C,
15427,,,,,B,
15428,,,,,C-,
15429,,,,,B+,
15430,,,,,C,
15431,,,,,B-,
15432,,,,,B+,
15433,,,,,C-,
15434,,,,,A,
15435,,,,,B,
15436,,,,,C+,
15437,,,,,A-,
15438,,,,,B,
15439,,,,,A+,
15440,,,,,D+,
15441,,,,,B+,
15442,,,,,B,
15443,,,,,B-,
15444,,,,,D+,
15445,,,,,B+,
15446,,,,,A,
15447,,,,,A,
15448,,,,,A,
15449,,,,,A,
15450,,,,,B+,
15451,,,,,A-,
15452,,,,,A,
15453,,,,,B-,
15454,,,,,B,
15455,,,,,A,
15456,,,,,B-,
15457,,,,,A+,
15458,,,,,A-,
15459,,,,,B+,
15460,,,,,C,
15461,,,,,C+,
15462,,,,,B,
15463,,,,,A,
15464,,,,,B+,
15465,,,,,B-,
15466,,,,,B-,
15467,,,,,A-,
15468,,,,,A+,
15469,,,,,A-,
15470,,,,,A,
15471,,,,,B,
15472,,,,,A,
15473,,,,,A,
15474,,,,,B+,
15475,,,,,C-,
15476,,,,,B-,
15477,,,,,A,
15478,,,,,A,
15479,,,,,A+,
15480,,,,,A,
15481,,,,,A-,
15482,,,,,A,
15483,,,,,B+,
15484,,,,,B-,
15485,,,,,A,
15486,,,,,C,
15487,,,,,A-,
15488,,,,,A-,
15489,,,,,B+,
15490,,,,,B,
15491,,,,,E,
15492,,,,,A-,
15493,,,,,C-,
15494,,,,,A+,
15495,,,,,A,
15496,,,,,D-,
15497,,,,,C+,
15498,,,,,B+,
15499,,,,,C+,
15500,,,,,A+,
15501,,,,,B,
15502,,,,,B,
15503,,,,,C+,
15504,,,,,A-,
15505,,,,,A,
15506,,,,,A-,
15507,,,,,B,
15508,,,,,B,
15509,,,,,A-,
15510,,,,,A-,
15511,,,,,C+,
15512,,,,,B,
15513,,,,,B+,
15514,,,,,B,
15515,,,,,B+,
15516,,,,,B,
15517,,,,,A,
15518,,,,,C-,
15519,,,,,B,
15520,,,,,C+,
15521,,,,,A-,
15522,,,,,C-,
15523,,,,,A,
15524,,,,,A-,
15525,,,,,A,
15526,,,,,B-,
15527,,,,,B-,
15528,,,,,A,
15529,,,,,A,
15530,,,,,A+,
15531,,,,,A,
15532,,,,,B,
15533,,,,,C+,
15534,,,,,A+,
15535,,,,,A,
15536,,,,,C-,
15537,,,,,C+,
15538,,,,,B+,
15539,,,,,A+,
15540,,,,,A,
15541,,,,,B,
15542,,,,,C+,
15543,,,,,B-,
15544,,,,,B+,
15545,,,,,A,
15546,,,,,B-,
15547,,,,,C+,
15548,,,,,B,
15549,,,,,A-,
15550,,,,,B-,
15551,,,,,A-,
15552,,,,,B,
15553,,,,,A,
15554,,,,,A,
15555,,,,,A-,
15556,,,,,C-,
15557,,,,,B,
15558,,,,,B+,
15559,,,,,A,
15560,,,,,A-,
15561,,,,,B-,
15562,,,,,A-,
15563,,,,,A-,
15564,,,,,C,
15565,,,,,C,
15566,,,,,B+,
15567,,,,,B-,
15568,,,,,A-,
15569,,,,,B,
15570,,,,,B-,
15571,,,,,A,
15572,,,,,B+,
15573,,,,,C-,
15574,,,,,A,
15575,,,,,C+,
15576,,,,,A,
15577,,,,,C-,
15578,,,,,A,
15579,,,,,B-,
15580,,,,,A+,
15581,,,,,A+,
15582,,,,,A-,
15583,,,,,B-,
15584,,,,,A,
15585,,,,,B+,
15586,,,,,A-,
15587,,,,,B-,
15588,,,,,B,
15589,,,,,A-,
15590,,,,,A,
15591,,,,,B-,
15592,,,,,A,
15593,,,,,B-,
15594,,,,,B+,
15595,,,,,C+,
15596,,,,,C-,
15597,,,,,A-,
15598,,,,,B,
15599,,,,,B,
15600,,,,,C+,
15601,,,,,B-,
15602,,,,,A,
15603,,,,,B-,
15604,,,,,B,
15605,,,,,A-,
15606,,,,,E,
15607,,,,,B,
15608,,,,,B-,
15609,,,,,A,
15610,,,,,B-,
15611,,,,,A-,
15612,,,,,B-,
15613,,,,,A,
15614,,,,,C,
15615,,,,,B-,
15616,,,,,A+,
15617,,,,,B,
15618,,,,,A-,
15619,,,,,B-,
15620,,,,,C+,
15621,,,,,D,
15622,,,,,A,
15623,,,,,B,
15624,,,,,B,
15625,,,,,A,
15626,,,,,B-,
15627,,,,,A-,
15628,,,,,C+,
15629,,,,,A-,
15630,,,,,B-,
15631,,,,,B-,
15632,,,,,B+,
15633,,,,,A-,
15634,,,,,A-,
15635,,,,,C+,
15636,,,,,B,
15637,,,,,C-,
15638,,,,,B+,
15639,,,,,A-,
15640,,,,,C,
15641,,,,,B-,
15642,,,,,C,
15643,,,,,A,
15644,,,,,A+,
15645,,,,,D-,
15646,,,,,A,
15647,,,,,B,
15648,,,,,B,
15649,,,,,A-,
15650,,,,,A,
15651,,,,,A-,
15652,,,,,B,
15653,,,,,A-,
15654,,,,,B,
15655,,,,,C,
15656,,,,,B+,
15657,,,,,C-,
15658,,,,,C-,
15659,,,,,B,
15660,,,,,B,
15661,,,,,B,
15662,,,,,A-,
15663,,,,,B,
15664,,,,,B,
15665,,,,,C,
15666,,,,,A,
15667,,,,,B+,
15668,,,,,B,
15669,,,,,A-,
15670,,,,,B+,
15671,,,,,C+,
15672,,,,,A,
15673,,,,,A,
15674,,,,,B-,
15675,,,,,A-,
15676,,,,,C+,
15677,,,,,A+,
15678,,,,,B,
15679,,,,,C,
15680,,,,,A,
15681,,,,,B,
15682,,,,,B+,
15683,,,,,C-,
15684,,,,,B,
15685,,,,,C-,
15686,,,,,A+,
15687,,,,,C,
15688,,,,,A,
15689,,,,,B+,
15690,,,,,C-,
15691,,,,,C-,
15692,,,,,B+,
15693,,,,,A-,
15694,,,,,A+,
15695,,,,,A,
15696,,,,,B+,
15697,,,,,B-,
15698,,,,,B,
15699,,,,,A-,
15700,,,,,B,
15701,,,,,B+,
15702,,,,,A,
15703,,,,,C+,
15704,,,,,A,
15705,,,,,B-,
15706,,,,,B-,
15707,,,,,B+,
15708,,,,,A-,
15709,,,,,A,
15710,,,,,B,
15711,,,,,A-,
15712,,,,,D-,
15713,,,,,A,
15714,,,,,B+,
15715,,,,,B,
15716,,,,,C,
15717,,,,,B+,
15718,,,,,B+,
15719,,,,,A-,
15720,,,,,A,
15721,,,,,B+,
15722,,,,,A+,
15723,,,,,A+,
15724,,,,,A+,
15725,,,,,A,
15726,,,,,A-,
15727,,,,,B-,
15728,,,,,C-,
15729,,,,,A,
15730,,,,,A+,
15731,,,,,A-,
15732,,,,,B,
15733,,,,,B,
15734,,,,,B,
15735,,,,,B+,
15736,,,,,B+,
15737,,,,,A+,
15738,,,,,A,
15739,,,,,C+,
15740,,,,,B,
15741,,,,,A-,
15742,,,,,C+,
15743,,,,,C+,
15744,,,,,A-,
15745,,,,,B,
15746,,,,,A-,
15747,,,,,B-,
15748,,,,,A-,
15749,,,,,A-,
15750,,,,,C,
15751,,,,,B-,
15752,,,,,A,
15753,,,,,B+,
15754,,,,,B+,
15755,,,,,B,
15756,,,,,A,
15757,,,,,A-,
15758,,,,,A-,
15759,,,,,B-,
15760,,,,,C,
15761,,,,,B-,
15762,,,,,B+,
15763,,,,,B+,
15764,,,,,B-,
15765,,,,,B-,
15766,,,,,E,
15767,,,,,B-,
15768,,,,,B+,
15769,,,,,B+,
15770,,,,,B,
15771,,,,,C,
15772,,,,,B,
15773,,,,,B-,
15774,,,,,B-,
15775,,,,,B+,
15776,,,,,B+,
15777,,,,,B+,
15778,,,,,B,
15779,,,,,C-,
15780,,,,,D,
15781,,,,,A-,
15782,,,,,B-,
15783,,,,,C+,
15784,,,,,C-,
15785,,,,,A-,
15786,,,,,D+,
15787,,,,,C-,
15788,,,,,A-,
15789,,,,,A+,
15790,,,,,B,
15791,,,,,A-,
15792,,,,,D+,
15793,,,,,A,
15794,,,,,A-,
15795,,,,,A,
15796,,,,,B,
15797,,,,,C+,
15798,,,,,C-,
15799,,,,,A,
15800,,,,,B,
15801,,,,,A-,
15802,,,,,B+,
15803,,,,,C+,
15804,,,,,B-,
15805,,,,,C-,
15806,,,,,A,
15807,,,,,A,
15808,,,,,B+,
15809,,,,,A,
15810,,,,,A-,
15811,,,,,C+,
15812,,,,,B-,
15813,,,,,A,
15814,,,,,A-,
15815,,,,,A,
15816,,,,,C-,
15817,,,,,C-,
15818,,,,,B+,
15819,,,,,A-,
15820,,,,,C-,
15821,,,,,B-,
15822,,,,,C,
15823,,,,,A-,
15824,,,,,A,
15825,,,,,C+,
15826,,,,,B+,
15827,,,,,A-,
15828,,,,,B,
15829,,,,,A,
15830,,,,,A-,
15831,,,,,B,
15832,,,,,B,
15833,,,,,C,
15834,,,,,A-,
15835,,,,,A,
15836,,,,,B-,
15837,,,,,B-,
15838,,,,,B-,
15839,,,,,B-,
15840,,,,,C+,
15841,,,,,B,
15842,,,,,B+,
15843,,,,,B-,
15844,,,,,A-,
15845,,,,,B-,
15846,,,,,C,
15847,,,,,C,
15848,,,,,A-,
15849,,,,,C+,
15850,,,,,C+,
15851,,,,,B,
15852,,,,,B+,
15853,,,,,D-,
15854,,,,,A-,
15855,,,,,C+,
15856,,,,,A-,
15857,,,,,A-,
15858,,,,,A-,
15859,,,,,B-,
15860,,,,,D+,
15861,,,,,D+,
15862,,,,,C-,
15863,,,,,C+,
15864,,,,,C-,
15865,,,,,C-,
15866,,,,,B-,
15867,,,,,C-,
15868,,,,,B+,
15869,,,,,A-,
15870,,,,,A-,
15871,,,,,B+,
15872,,,,,A,
15873,,,,,A,
15874,,,,,B,
15875,,,,,B+,
15876,,,,,B-,
15877,,,,,A+,
15878,,,,,A-,
15879,,,,,A,
15880,,,,,A,
15881,,,,,A,
15882,,,,,B,
15883,,,,,B-,
15884,,,,,C+,
15885,,,,,B+,
15886,,,,,A,
15887,,,,,C,
15888,,,,,A-,
15889,,,,,A-,
15890,,,,,B+,
15891,,,,,A+,
15892,,,,,C-,
15893,,,,,A-,
15894,,,,,C,
15895,,,,,A,
15896,,,,,A,
15897,,,,,D+,
15898,,,,,A,
15899,,,,,A,
15900,,,,,A,
15901,,,,,B+,
15902,,,,,C-,
15903,,,,,B,
15904,,,,,B,
15905,,,,,A-,
15906,,,,,A-,
15907,,,,,C+,
15908,,,,,C+,
15909,,,,,A,
15910,,,,,D+,
15911,,,,,B,
15912,,,,,A-,
15913,,,,,A,
15914,,,,,E,
15915,,,,,A-,
15916,,,,,A-,
15917,,,,,A,
15918,,,,,B,
15919,,,,,A-,
15920,,,,,B-,
15921,,,,,B-,
15922,,,,,A,
15923,,,,,B-,
15924,,,,,B+,
15925,,,,,A,
15926,,,,,C+,
15927,,,,,A+,
15928,,,,,B+,
15929,,,,,A,
15930,,,,,A,
15931,,,,,B,
15932,,,,,A-,
15933,,,,,B-,
15934,,,,,B+,
15935,,,,,B+,
15936,,,,,A,
15937,,,,,A-,
15938,,,,,A,
15939,,,,,B+,
15940,,,,,B,
15941,,,,,B+,
15942,,,,,E,
15943,,,,,B+,
15944,,,,,A-,
15945,,,,,B+,
15946,,,,,B,
15947,,,,,C+,
15948,,,,,B-,
15949,,,,,E,
15950,,,,,A-,
15951,,,,,A-,
15952,,,,,A-,
15953,,,,,B+,
15954,,,,,A-,
15955,,,,,B+,
